2,0,0,3,5, [20.19262899 10.08155779 50.14326504 34.28360573 66.61596696]
0,0,1,0,1, [48.90180912]
1,0,1,1,3, [50.64047436 19.92974967 79.005298  ]
2,0,1,2,5, [19.54142161  4.03639566 50.06644219 27.04514716 54.63798779]
1,0,0,2,3, [18.63277472 -0.37057384 79.00337986]
1,0,0,2,3, [51.26087085 28.46129832 71.7333344 ]
2,1,1,3,7, [50.07665287 20.04193846 11.22963943  1.86539716 -3.76142289 46.22806531
 62.47497168]
2,0,0,3,5, [50.16683981 19.68952342  2.39776712 25.09933557 57.99296184]
1,3,0,2,6, [34.51809659 -0.07491157 50.38097203 43.41245572 41.16179476 57.36475861]
0,0,1,0,1, [15.17488295]
0,1,0,0,1, [242.18627609]
2,0,1,2,5, [49.66716805 20.6335927  13.5854973  24.8051958  74.84699649]
2,0,0,3,5, [50.78092619 20.56104938  0.67674406 25.87040015 79.05190901]
2,0,0,3,5, [19.96853807 10.83192235 50.9978005  36.26496031 56.80022764]
2,0,0,3,5, [50.71601412 21.43909245 -0.06670777 26.22328916 55.90682019]
2,0,0,3,5, [48.84217723 21.318676    2.06317264 41.19495502 75.48816516]
2,1,1,2,6, [20.7413872   5.92845191 21.71371212 49.65733503 25.95666531 70.97763491]
2,0,0,3,5, [49.89932278 20.55137575  8.50513996 27.25603323 74.56224071]
1,0,1,1,3, [49.90603807 21.23452245 77.10977779]
1,0,1,1,3, [50.41719027 20.28993836 77.76372395]
2,0,1,2,5, [20.12255844 -0.41736885 50.47152907 43.1609741  54.87113732]
2,0,0,3,5, [ 1.97474296e+01 -3.84828744e-02  5.03656476e+01  2.77546589e+01
  7.78964184e+01]
2,1,0,3,6, [30.84361548 18.8954406   1.65524896 49.21544147 38.58375437 63.81636945]
1,0,1,1,3, [20.26327356 14.55060164 50.25007303]
2,0,2,1,5, [50.55462434 19.43574529 10.97947176 24.11904814 54.91260481]
0,0,1,0,1, [49.2757396]
2,0,1,2,5, [50.23923269 19.44956206  0.2596618  24.28006722 78.51258596]
2,0,0,3,5, [47.17754331 19.50044702  6.04442467 39.73511393 78.26121218]
1,0,0,2,3, [17.10266259 10.77909671 78.89970459]
2,0,0,3,5, [20.54345075 10.28067834 50.14692036 25.63185984 76.68055891]
2,0,1,2,5, [50.44071119 19.67518476 12.12201999 35.08116385 47.02240316]
1,0,1,1,3, [19.91506331 13.82889896 49.61027282]
0,0,1,0,1, [20.29575383]
2,0,1,2,5, [51.88488761 17.95724191  0.55248105 24.01103644 57.5299834 ]
1,0,1,1,3, [49.76842844 43.61345754 53.9850671 ]
2,0,0,3,5, [49.96602232 19.97027607  5.22401761 25.35807775 78.3827813 ]
0,0,1,0,1, [20.44261767]
2,0,1,2,5, [19.79580444  3.67470366 49.23861017 23.9956589  79.11741697]
2,0,0,3,5, [ 20.66834132   2.7104622   49.84852944 -15.79209998  55.45986318]
2,0,1,2,5, [51.29740197 19.796053    5.51370514 24.0288772  79.35209288]
1,0,0,2,3, [19.77518906  2.98842963 62.66684195]
1,0,1,1,3, [ 20.58811627  15.07754891 139.07409039]
1,0,0,2,3, [49.75305213 41.74698299 57.67358241]
2,0,0,3,5, [49.94963606 19.87354602 -0.42055318 42.58795629 58.64106508]
1,0,2,0,3, [49.95101874 20.75931979 54.03538608]
4,0,1,1,6, [19.56676204 13.02705679 49.89490085 24.13290233 54.11947208 54.11947208]
1,0,0,2,3, [ 20.21420981 -94.50930575  78.91746126]
0,0,0,1,1, [7.35297624]
2,0,0,3,5, [20.01604331 13.00070607 49.92442403 25.71857967 76.87815415]
1,0,1,1,3, [50.75570577 21.07180514 79.19593264]
2,2,1,1,6, [19.73286932  0.92237417  0.92237417 49.82810156 52.4064737  56.63242312]
0,0,1,0,1, [20.72119966]
0,0,1,0,1, [47.74981804]
2,0,1,2,5, [20.69600835 12.90623861 51.60714888 24.99342582 79.01588093]
1,0,1,1,3, [50.39410279 22.51054002 79.52924365]
2,0,1,2,5, [ 20.20681384 -12.35260615  48.69768989  37.89931198  52.99027018]
2,0,0,3,5, [19.70208641  4.34986751 50.39478116 41.97174451 58.9803931 ]
